,z_value
1,33.10547444837534
2,0.5746783320398181
5,2.6265489819275007
6,2.8495135151779363
8,0.5361529131954865
9,2.1084373404799246
12,1.4644572138700918
13,1.5849035387581367
17,0.9321105844534935
19,0.5782873837687911
21,0.5698481746240708
27,0.5851920282190272
32,1.1860765630670753
33,1.4940266155884425
42,0.5019101455086039
45,1.0396245339218793
247,10.222485684360834
248,0.8048950363398292
250,1.5243168486010672
251,0.8382801535669788
252,0.8236968333315418
258,0.6049340322836301
264,0.7047048698528766
268,0.53716191466898
269,0.5645856584501342
271,0.5526683133938561
297,1.6278519823596342
300,0.513804828214378
301,0.5848726200933045
303,0.9755435466769374
305,0.5018052273043158
306,0.5652614613344562
308,0.9903229865322006
310,0.505718351995589
312,0.6786779054732693
317,0.5985840882261384
18643,2.0014366845259137
18644,1.001572681456091
18661,0.895567394261512
18662,1.2231001558494148
18665,0.5795045203583619
22410,1.5852104763313148
22489,0.6107376244882206
22493,0.7041270463767381
1501832,0.7057076944354004
1501841,0.5187242955843864
1502024,0.9596777959694118
1502026,1.6731932229187638
1520013,2.642497454419158
1520016,5.80019188341185
1520048,0.6289840038485732
1520240,2.7700399826856765
1520242,1.3957346341444516
2987148,1.0283087556629913
3001910,0.5128165533679389
3016774,0.6137042673933806
3016812,0.5110599872657653
4481810,0.8320844836408307
4481814,1.2785486548700349
4482059,3.4048037240885356
4482060,1.1834565885795916
5999998,1.3664994653444718
